Feature,Importance
complexity_score,0.07895215126074766
using,0.02184482155887548
machines,0.011296140858113625
equipment,0.009586267463379322
parts,0.009013854658228035
research,0.008904339358463636
hand,0.008700501490952372
remove,0.008321154731304146
students,0.008270765223235098
develop,0.008150291006544592
tools,0.007997872352438476
clean,0.007747776019326625
repair,0.007440311463064914
surfaces,0.007413069641700791
cut,0.006280541325950578
install,0.005897137157467077
review,0.005534401603691089
information,0.005520640995076165
design,0.005310375904088683
prepare,0.0053094448700443456
evaluate,0.005247055579974889
data,0.005087803442230548
financial,0.005052278998548765
issues,0.004965013626966448
machine,0.004689520172834852
conduct,0.00468555701686655
policies,0.0045369253931190935
programs,0.004517983416373623
clients,0.0039352882831294265
metal,0.003916860810276947
operate,0.0038650697260927667
reports,0.0038478407417467486
student,0.0037962219006874493
analyze,0.0035784832728318144
areas,0.0035469726539945016
work,0.0033925561165060515
word_count,0.003383029520559211
materials,0.0033751721135142744
environmental,0.0033012325478302385
position,0.0031986055712416857
activities,0.00317638214447102
maintain,0.0030943251911303236
walls,0.0030693587390289495
inspect,0.003065086225989101
management,0.003060291025427009
concrete,0.0030518719053566007
workpieces,0.0030457173268209703
task_length,0.003033838846770739
adjust,0.0030270264938254466
determine,0.003016036565707931
participate,0.0029765660782518732
records,0.002937140248477814
coordinate,0.0029220896185684023
write,0.002913045886301085
replace,0.0029017157103834778
trees,0.0028717116526469416
trucks,0.002839420017980791
documents,0.0028282080430630024
compile,0.002823529315378171
administrative,0.0026573307915803367
methods,0.0026164743743773682
holes,0.002608587836943919
services,0.0025727832008779388
organizations,0.002536625556119219
mix,0.0025162080630922908
cutting,0.002418669684686249
surface,0.0024081906761561694
systems,0.0024032447061495647
set,0.0024025420970609024
containers,0.002322188571894975
professional,0.0022994156304893833
place,0.0022967365150213044
advise,0.002258635481078912
specified,0.0022582633452757597
government,0.002249188802564437
blueprints,0.0022376023954960326
staff,0.002218378881465845
start,0.0021987159294264876
water,0.0021902649903751915
ensure,0.002178176628785168
measure,0.0021736517430175585
record,0.002167805217194393
development,0.002107155687339966
supervise,0.002081728213461644
trim,0.0020629056655950377
roofs,0.002052827802030151
assignments,0.0020520934723197346
perform,0.0020511585405799723
vehicles,0.002025561063447942
apply,0.0020206557150914445
cleaning,0.002006379936233079
new,0.0019991270110259808
products,0.001994990768147313
food,0.001978033243623598
required,0.0019614386072725146
direct,0.0019527469512891932
accounts,0.001939358399334719
sections,0.001937877738092078
projects,0.0019273875558713535
provide,0.0019190916661879667
load,0.0019015307415427847
customers,0.0018812660897261787
molds,0.001876730339086144
course,0.001872473304155112
technical,0.00187176752257041
use,0.0018649512468859677
animals,0.001859194332990491
select,0.0018557683148779452
plans,0.001855081643502784
obtain,0.0018477760939387313
physical,0.0018256021700134345
